id;chick_number;hatch_date;chick_status;chick_age;chick_active;chick_condition;chick_ringed;blood_sample
1;52305;2020-11-22;UNKNOWN;44591;Crossing SMTP;MEDIUM;payment Crossroad;Avon Idaho
2;25026;2020-11-22;UNKNOWN;57859;stable Identity;BAD;Bacon online Berkshire;Keys
3;48720;2020-11-22;ALIVE;85258;multi-state;BAD;executive Beauty application;HTTP
4;22824;2020-11-22;DEAD;6650;tan Central Global;BAD;Shoes transform bypassing;process improvement Quality program
5;35896;2020-11-22;ALIVE;51083;back up Creative Intelligent;UNK;didactic Toys;installation cross-platform killer
6;67050;2020-11-23;FLEDGED;23016;program deposit;GOOD;Trace hacking;SDD system
7;56748;2020-11-22;UNKNOWN;94639;invoice Ohio Credit Card Account;GOOD;bandwidth vortals;RAM contingency
8;34572;2020-11-22;FLEDGED;17702;Savings Account;GOOD;Data deposit Sports;black
9;93932;2020-11-23;DEAD;8915;silver;MEDIUM;withdrawal;Officer mobile Division
10;8272;2020-11-23;DEAD;38450;Analyst synergies Awesome Rubber Hat;GOOD;Lead Outdoors Optimization;backing up Tools
