id;mk_around;no_of_individuals;competitor_behaviour;competitor_location
1;Hawaii innovative demand-driven;83522;CHASING_MK;TRACES_IN_NEST
2;gold withdrawal;56866;TRYING_TO_ENTER_MK_NEST;TRACES_IN_NEST
3;digital;53154;FIGHTING_MK;ON_BOX_NEAR_CAVITY
4;User-friendly;10016;USING_MK_NEST;IN_CLEARING
5;deposit;35125;USING_MK_NEST;ON_BOX_NEAR_CAVITY
6;optical Iceland Krona supply-chains;16234;USING_MK_NEST;ON_BOX_NEAR_CAVITY
7;technologies;67162;USING_MK_NEST;ON_BOX_NEAR_CAVITY
8;Gloves bandwidth;66976;USING_MK_NEST;TRACES_IN_NEST
9;Plains;2446;NO_INTERACTION;ON_BOX_NEAR_CAVITY
10;Cross-group;92643;CHASING_MK;TRACES_IN_NEST
