id;no_field_workers;type;breeding_attempt;breeding_stage;breeding_outcome;prey_item;prey_species;time;cloud;wind;rain;outcome;comment
1;22612;FOOD_ITEM_PASS;YES;CHICK;ONGOING;INSECT;WAXBILL;SCSI unleash;CLEAR;CALM;LIGHT;CACHED_BY_FEMALE;Concrete expedite Central
2;88330;NEST_SITE_REMAINS;UNKNOWN;EGG;UNKNOWN;AGAMID;WAXBILL;Vietnam;CLOUDY;BREEZE;HEAVY;CACHED_BY_MALE;Bedfordshire Architect Research
3;46406;NEST_SITE_REMAINS;YES;FLEDGED;UNKNOWN;SHREW;HOUSE_GECKO;Personal Loan Account;OVERCAST;BREEZE;HEAVY;REMAINS_NEAR_NEST_SITE;niches
4;84953;NEST_SITE_REMAINS;UNKNOWN;UNKNOWN;FLEDGED;INSECT;PHELSUMA_SPP;redundant;OVERCAST;CALM;HEAVY;PASSED_TO_FEMALE;bypass deposit experiences
5;12798;NEST_SITE_REMAINS;UNKNOWN;CHICK;ONGOING;INSECT;WAXBILL;Creative Wooden Paradigm;CLEAR;BREEZE;LIGHT;PASSED_TO_CHICKS;Credit Card Account turn-key
6;73077;NEST_SITE_REMAINS;UNKNOWN;EGG;UNKNOWN;UNKNOWN;PHELSUMA_ORNATA;Handmade Wooden Gloves Shore;CLEAR;WINDY;LIGHT;REMAINS_NEAR_NEST_SITE;Iceland Wyoming cross-platform
7;69722;FOOD_ITEM_PASS;YES;CHICK;UNKNOWN;BIRD;PHELSUMA_CEPEDIANA;Loop;CLOUDY;WINDY;HEAVY;EATEN_BY_MALE;Ergonomic Soft Towels Handcrafted Bahraini Dinar
8;52945;FOOD_ITEM_PASS;NO;EGG;FLEDGED_EGG_STAGE;SHREW;PHELSUMA_SPP;bluetooth;CLEAR;BREEZE;NO;NOT_DELIVERED_TO_CHICKS_ACCESSING;deploy
9;71382;FOOD_ITEM_PASS;UNKNOWN;FLEDGED;ONGOING;UNKNOWN;RED_WHISKERED_BULBUL;Plastic Unbranded Bike;CLEAR;CALM;NO;EATEN_BY_FEMALE;online
10;84725;FOOD_ITEM_PASS;NO;CHICK;ONGOING;SHREW;WAXBILL;Frozen yellow enable;CLOUDY;BREEZE;HEAVY;NOT_DELIVERED_TO_CHICKS_ACCESSING;Beauty THX
