id;title;description;image;image_content_type;add_date;update_date
1;ADP Mountain Metal;user-facing harness haptic;../fake-data/blob/hipster.png;image/png;2020-11-22;2020-11-22
2;Direct Security Ergonomic;Avon Handcrafted Metal Computer;../fake-data/blob/hipster.png;image/png;2020-11-22;2020-11-22
3;Security Mouse;Square 1080p;../fake-data/blob/hipster.png;image/png;2020-11-23;2020-11-23
4;Auto Loan Account Tasty;West Virginia alarm;../fake-data/blob/hipster.png;image/png;2020-11-23;2020-11-23
5;parsing Frozen;clear-thinking;../fake-data/blob/hipster.png;image/png;2020-11-22;2020-11-22
6;Intranet;azure Central Berkshire;../fake-data/blob/hipster.png;image/png;2020-11-22;2020-11-23
7;challenge array;Cheese;../fake-data/blob/hipster.png;image/png;2020-11-23;2020-11-23
8;Harbor;Congolese Franc Money Market Account;../fake-data/blob/hipster.png;image/png;2020-11-22;2020-11-22
9;user-centric;Tuna;../fake-data/blob/hipster.png;image/png;2020-11-22;2020-11-22
10;Liaison middleware programming;Swaziland;../fake-data/blob/hipster.png;image/png;2020-11-22;2020-11-23
