id;mk_type;reason_for_capture;capture_method;name;age;weight;head;exposed_culmen;culmen_to_skull;wing;p_8;p_8_brush;tail;tail_brush;tarsus_length;comments
1;UNKNOWN;CHICK_RINGING;NOOSE_CARPET;Frozen optical;5668;21639;3819;55100;87341;34450;67544;61431;51477;31560;76116;synthesize red Upgradable
2;CHICK;UNRINGED;NOOSE_CARPET;Money Market Account supply-chains;73176;912;73699;244;46490;94837;68452;33566;36620;91717;28777;syndicate bypassing Home
3;FLEDGING;HEALTH_CHECK;INREST;Awesome Steel Bacon Plastic Afghani;80436;98169;52364;46661;57189;50440;64152;55747;1653;14549;33704;Berkshire
4;ADULT_MALE;MISSING_RINGS;INREST;Garden generating integrate;42327;84327;77989;45936;66814;22438;40647;22868;79408;66349;4611;Oregon back up
5;CHICK;UNRINGED;NOOSE_CARPET;incentivize fuchsia analyzer;4502;20224;52139;84534;95374;50;26473;64450;37844;40807;50866;even-keeled e-tailers
6;UNKNOWN;UNRINGED;BAL_CHATRI;compelling;54145;8941;31047;83445;96690;33917;70775;15996;12222;13282;97362;Soft transitional
7;UNKNOWN;CHICK_RINGING;NESTLING;systematic compress deploy;17319;11770;18549;59573;79730;99656;83551;74545;9257;98657;3611;gold Kansas
8;FLEDGING;HEALTH_CHECK;BAL_CHATRI;withdrawal SMS Future;23818;2146;23271;56550;19956;62583;36183;22748;20910;46455;38319;Savings Account
9;ADULT_FEMALE;UNRINGED;INREST;Creative withdrawal Latvian Lats;6890;57370;70518;13751;32523;21096;68518;75204;48984;52374;40918;Checking Account Syrian Arab Republic
10;ADULT_FEMALE;MISSING_RINGS;NOOSE_CARPET;enterprise Ergonomic Metal Keyboard Cotton;45498;23697;97316;22707;21477;67373;58940;60614;66980;32724;70639;back-end SQL bluetooth
