id;picture;picture_content_type;feeding_trait_type;species_type;common_name;latin_name;description;is_indigenous;add_date;update_date
1;../fake-data/blob/hipster.png;image/png;CARNIVORE;Personal Loan Account firewall;Cambridgeshire Turkmenistan;purple withdrawal Unbranded;Horizontal;true;2020-11-22;2020-11-22
2;../fake-data/blob/hipster.png;image/png;OMNIVORE;RAM Licensed;architecture Streamlined Technician;XML;Plastic pixel;true;2020-11-23;2020-11-22
3;../fake-data/blob/hipster.png;image/png;OMNIVORE;cross-platform cultivate Money Market Account;PNG;Kroon;Facilitator Nebraska;false;2020-11-23;2020-11-22
4;../fake-data/blob/hipster.png;image/png;CARNIVORE;proactive;Sausages HDD;Cliff;markets fresh-thinking Representative;false;2020-11-22;2020-11-22
5;../fake-data/blob/hipster.png;image/png;CARNIVORE;Investment Account;circuit;synthesize Consultant Virtual;adapter Mobility Lead;false;2020-11-22;2020-11-22
6;../fake-data/blob/hipster.png;image/png;HERBIVORE;calculate;Tasty Plastic Gloves;system Passage teal;SCSI Swiss Franc;true;2020-11-22;2020-11-22
7;../fake-data/blob/hipster.png;image/png;CARNIVORE;Checking Account;throughput;EXE Tasty Wooden Mouse;Chile Bacon;true;2020-11-22;2020-11-23
8;../fake-data/blob/hipster.png;image/png;OMNIVORE;next-generation Principal Licensed Fresh Pizza;Auto Loan Account virtual Borders;indigo regional;metrics Operations;false;2020-11-22;2020-11-22
9;../fake-data/blob/hipster.png;image/png;HERBIVORE;Games;open-source payment;Cambridgeshire Cambridgeshire payment;Executive yellow;true;2020-11-22;2020-11-22
10;../fake-data/blob/hipster.png;image/png;OMNIVORE;Intelligent Rubber Salad Michigan Savings Account;Home Loan Account Boliviano Mvdol alarm;protocol Advanced;secured line Brand Som;false;2020-11-22;2020-11-22
