id;name;species_category_type;picture;picture_content_type;description;add_date;update_date
1;Camp;FLORA;../fake-data/blob/hipster.png;image/png;content;2020-11-22;2020-11-23
2;back-end;FAUNA;../fake-data/blob/hipster.png;image/png;architectures Montana;2020-11-22;2020-11-23
3;attitude-oriented Unions;FLORA;../fake-data/blob/hipster.png;image/png;Plastic Cambridgeshire;2020-11-22;2020-11-23
4;Awesome;FAUNA;../fake-data/blob/hipster.png;image/png;Lead;2020-11-23;2020-11-22
5;yellow SMS Profit-focused;FAUNA;../fake-data/blob/hipster.png;image/png;Auto Loan Account;2020-11-22;2020-11-23
6;interface circuit Practical Wooden Computer;FLORA;../fake-data/blob/hipster.png;image/png;redundant product optical;2020-11-22;2020-11-22
7;e-tailers Assurance;FAUNA;../fake-data/blob/hipster.png;image/png;web services;2020-11-23;2020-11-22
8;payment Intelligent;FAUNA;../fake-data/blob/hipster.png;image/png;Planner Awesome;2020-11-22;2020-11-23
9;PCI;FLORA;../fake-data/blob/hipster.png;image/png;HTTP;2020-11-23;2020-11-22
10;Lebanese Pound;FAUNA;../fake-data/blob/hipster.png;image/png;didactic West Virginia Key;2020-11-23;2020-11-23
