id;name;date_of_birth;date_of_tagging;physical_traits;tag_type;date_time;sex_type;update_date
1;Bike withdrawal Licensed Concrete Sausages;2020-11-23;2020-11-22;methodologies;OTHER;2020-11-23;UNKNOWN;2020-11-23
2;quantify access;2020-11-22;2020-11-22;artificial intelligence Ville Path;CHIP;2020-11-22;UNKNOWN;2020-11-22
3;Licensed Cotton Fish;2020-11-23;2020-11-22;salmon green;OTHER;2020-11-22;FEMALE;2020-11-22
4;Tasty Metal Shoes Dominican Peso;2020-11-23;2020-11-23;Customer;CHIP;2020-11-22;MALE;2020-11-22
5;Orchestrator;2020-11-23;2020-11-23;success Venezuela;OTHER;2020-11-22;MALE;2020-11-22
6;dedicated;2020-11-22;2020-11-22;global orange;BRACELET;2020-11-23;MALE;2020-11-23
7;Cove EXE indigo;2020-11-23;2020-11-22;HTTP cross-platform monitor;CHIP;2020-11-22;UNKNOWN;2020-11-22
8;Avon copy Cambridgeshire;2020-11-23;2020-11-23;human-resource Enterprise-wide;CHIP;2020-11-22;UNKNOWN;2020-11-22
9;calculate;2020-11-23;2020-11-23;Saint Vincent and the Grenadines Michigan AGP;OTHER;2020-11-22;MALE;2020-11-22
10;Home Loan Account Stravenue Handcrafted;2020-11-22;2020-11-23;Buckinghamshire Netherlands Antilles withdrawal;CHIP;2020-11-22;MALE;2020-11-22
